Change,Excluded,Name,Original,en,fr
,,,"
[AwakeOld]
","
[AwakeOld]
","
[AwakeOld]
"
,,???,${Awake.text1},${Awake.text1},${Awake.text1}
,,???,${Awake.text2},${Awake.text2},${Awake.text2}
,,???,${Awake.text3},${Awake.text3},${Awake.text3}
,,???,${Awake.text4},${Awake.text4},${Awake.text4}
,,???,${Awake.text5},${Awake.text5},${Awake.text5}
,,The Host,${TheHost.text1},${TheHost.text1},${TheHost.text1}
,,The Host,${TheHost.text2},${TheHost.text2},${TheHost.text2}
,,???,${Awake.text6},${Awake.text6},${Awake.text6}
,,???,${Awake.text7},${Awake.text7},${Awake.text7}
,,The Host,${TheHost.text3},${TheHost.text3},${TheHost.text3}
,,???,${Awake.text8},${Awake.text8},${Awake.text8}
,,The Host,${TheHost.text10},${TheHost.text10},${TheHost.text10}
,,???,${Awake.text10},${Awake.text10},${Awake.text10}
,,???,${Awake.text11},${Awake.text11},${Awake.text11}
,,The Host,${TheHost.text4},${TheHost.text4},${TheHost.text4}
,,The Host,${TheHost.text5},${TheHost.text5},${TheHost.text5}
,,The Host,${TheHost.text6},${TheHost.text6},${TheHost.text6}
,,Aiden,${Awake.text12},${Awake.text12},${Awake.text12}
,,The Host,${TheHost.text7},${TheHost.text7},${TheHost.text7}
,,The Host,${TheHost.text8},${TheHost.text8},${TheHost.text8}
,,The Host,${TheHost.text9},${TheHost.text9},${TheHost.text9}
,,,"
[Cutscene1]
","
[Cutscene1]
","
[Cutscene1]
"
,,,"
[HealingHouseOld]
","
[HealingHouseOld]
","
[HealingHouseOld]
"
,,,"
[RythmeGame]
","
[RythmeGame]
","
[RythmeGame]
"
,,,"
[Oblivium1]
","
[Oblivium1]
","
[Oblivium1]
"
,,,"Navigation Directions in this complex space.
 - To The Healer: Always downward
 - To Nowhere: Everything else",,
,,,"Welcome to The Healer’s lair—made possible by
your questionable decisions and poor life choices.",,
,,,"
[InsideHealer]
","
[InsideHealer]
","
[InsideHealer]
"
,,The Healer,"Ah, so you’re the newcomer... Aiden.
You’re later than I expected. I’ve been 
waiting for you for many years.",,
,,Aiden,"Waiting for me? But I don’t even know you...
And where am I, anyway? This house just 
appeared out of nowhere!",,
,,The Healer,"You’re in the Oblivium, a place that exists 
between what was and what is yet to be.",,
,,Aiden,I don’t understand...,,
,,The Healer,"Are you alright, child? I’ve been calling you,
but you didn’t respond.",,
,,Aiden,"You... I’ve seen you before... Ahh, my head...",,
,,The Healer,Migraines? Let me take a look.,,
,,The Healer,"Music... It’s curious, isn’t it? It can help 
find balance, align body and mind.",,
,,The Healer,"You seem calmer now. Tell me, Aiden, 
can you recall what day it is?",,
,,Aiden,I... I don’t know...,,
,,The Healer,What do you remember?,,
,,Aiden,Nothing...,,
,,The Healer,"I see... Near-total amnesia. Perhaps it’s
not such a bad thing...",,
,,The Healer,"The Oblivium is a strange place...
And a generous one. It will allow you to 
reclaim your memories, one by one.",,
,,Elderly Man,...,,
,,The Healer,"Here, everything changes based on your feelings.
But be careful. What you recover isn’t just an
image of the past, it’s a reflection of yourself.",,
,,Aiden,A reflection?,,
,,The Healer,"Yes, and sometimes that reflection can
be hard to face. Your mind, be it light or
shadow, will guide you...or lead you astray.",,
,,The Healer,"Here, take this journal. It will help
you track your state of mind and the memories
you recover.",,
,,The Healer,"One day, you’ll have to make a final 
choice. But for now, it’s too soon to decide...",,
,,The Healer,"Keep the journal close. One day, 
it will reveal what you seek.",,
,,,"
[Old]
","
[Old]
","
[Old]
"
,,,"
[Start]
","
[Start]
","
[Start]
"
,,???,"\portrait[Aiden]\pscale[1]\poff[50,50]Where...\| Where am I?",,
,,???,"\portrait[Aiden]\pscale[1]\poff[50,50]Everything’s so... empty.",,
,,???,"\portrait[Aiden]\pscale[1]\poff[50,50]Am I dead?\| Or... maybe dreaming?\| 
I can’t feel anything...",,
